 ,f,|hNSNS/hBHBH|,arg(hNSNS/hBHBH) 
val#0,1.000000000e+01,9.999614015e-01,-1.108731739e-05 
val#1,1.000037506e+01,1.000027346e+00,1.192494326e-04 
val#2,1.000075017e+01,1.000027493e+00,1.204283506e-04 
val#3,1.000112534e+01,1.000027160e+00,1.216119261e-04 
val#4,1.000150056e+01,1.000026349e+00,1.228002407e-04 
val#5,1.000187582e+01,1.000025064e+00,1.239933920e-04 
val#6,1.000225114e+01,1.000023306e+00,1.251915003e-04 
val#7,1.000262651e+01,1.000021078e+00,1.263947670e-04 
val#8,1.000300194e+01,1.000018383e+00,1.276033743e-04 
val#9,1.000337741e+01,1.000015225e+00,1.288175948e-04 
val#10,1.000375294e+01,1.000011606e+00,1.300377205e-04 
val#11,1.000412852e+01,1.000007530e+00,1.312640841e-04 
val#12,1.000450415e+01,1.000003001e+00,1.324970540e-04 
val#13,1.000487983e+01,9.999980223e-01,1.337370607e-04 
val#14,1.000525556e+01,9.999925985e-01,1.349845275e-04 
val#15,1.000563135e+01,9.999867337e-01,1.362399885e-04 
val#16,1.000600718e+01,9.999804326e-01,1.375039667e-04 
val#17,1.000638307e+01,9.999736998e-01,1.387770797e-04 
val#18,1.000675901e+01,9.999665405e-01,1.400599204e-04 
val#19,1.000713500e+01,9.999589600e-01,1.413532038e-04 
val#20,1.000751105e+01,9.999509635e-01,1.426576603e-04 
val#21,1.000788714e+01,9.999425571e-01,1.439740557e-04 
val#22,1.000826329e+01,9.999337468e-01,1.453032409e-04 
val#23,1.000863949e+01,9.999245389e-01,1.466460927e-04 
val#24,1.000901574e+01,9.999149401e-01,1.480035490e-04 
val#25,1.000939204e+01,9.999049573e-01,1.493766134e-04 
val#26,1.000976840e+01,9.998945977e-01,1.507663192e-04 
val#27,1.001014480e+01,9.998838691e-01,1.521738061e-04 
val#28,1.001052126e+01,9.998727793e-01,1.536002311e-04 
val#29,1.001089777e+01,9.998613366e-01,1.550468504e-04 
val#30,1.001127434e+01,9.998495499e-01,1.565149387e-04 
val#31,1.001165095e+01,9.998374280e-01,1.580059052e-04 
val#32,1.001202762e+01,9.998249805e-01,1.595211549e-04 
val#33,1.001240433e+01,9.998122175e-01,1.610621837e-04 
val#34,1.001278111e+01,9.997991492e-01,1.626306188e-04 
val#35,1.001315793e+01,9.997857865e-01,1.642280874e-04 
val#36,1.001353480e+01,9.997721405e-01,1.658563159e-04 
val#37,1.001391173e+01,9.997582232e-01,1.675171194e-04 
val#38,1.001428871e+01,9.997440470e-01,1.692123931e-04 
val#39,1.001466574e+01,9.997296247e-01,1.709440789e-04 
val#40,1.001504282e+01,9.997149696e-01,1.727142864e-04 
val#41,1.001541995e+01,9.997000959e-01,1.745250569e-04 
val#42,1.001579714e+01,9.996850183e-01,1.763787019e-04 
val#43,1.001617438e+01,9.996697518e-01,1.782775192e-04 
val#44,1.001655167e+01,9.996543125e-01,1.802238575e-04 
val#45,1.001692901e+01,9.996387170e-01,1.822202021e-04 
val#46,1.001730641e+01,9.996229826e-01,1.842691572e-04 
val#47,1.001768386e+01,9.996071274e-01,1.863733649e-04 
val#48,1.001806135e+01,9.995911699e-01,1.885355645e-04 
val#49,1.001843891e+01,9.995751299e-01,1.907585905e-04 
val#50,1.001881651e+01,9.995590276e-01,1.930453415e-04 
val#51,1.001919417e+01,9.995428843e-01,1.953987954e-04 
val#52,1.001957187e+01,9.995267219e-01,1.978221113e-04 
val#53,1.001994963e+01,9.995105632e-01,2.003183393e-04 
val#54,1.002032745e+01,9.994944321e-01,2.028907503e-04 
val#55,1.002070531e+01,9.994783531e-01,2.055426214e-04 
val#56,1.002108323e+01,9.994623520e-01,2.082773209e-04 
val#57,1.002146120e+01,9.994464549e-01,2.110982446e-04 
val#58,1.002183922e+01,9.994306897e-01,2.140088477e-04 
val#59,1.002221729e+01,9.994150845e-01,2.170125924e-04 
val#60,1.002259542e+01,9.993996689e-01,2.201130269e-04 
val#61,1.002297360e+01,9.993844731e-01,2.233136734e-04 
val#62,1.002335183e+01,9.993695286e-01,2.266180683e-04 
val#63,1.002373011e+01,9.993548677e-01,2.300297403e-04 
val#64,1.002410845e+01,9.993405238e-01,2.335522098e-04 
val#65,1.002448683e+01,9.993265310e-01,2.371888831e-04 
val#66,1.002486528e+01,9.993129249e-01,2.409431660e-04 
val#67,1.002524377e+01,9.992997414e-01,2.448183857e-04 
val#68,1.002562231e+01,9.992870178e-01,2.488177548e-04 
val#69,1.002600091e+01,9.992747921e-01,2.529443102e-04 
val#70,1.002637956e+01,9.992631031e-01,2.572009766e-04 
val#71,1.002675826e+01,9.992519907e-01,2.615905017e-04 
val#72,1.002713702e+01,9.992414950e-01,2.661153895e-04 
val#73,1.002751582e+01,9.992316574e-01,2.707779288e-04 
val#74,1.002789468e+01,9.992225196e-01,2.755801034e-04 
val#75,1.002827360e+01,9.992141238e-01,2.805235899e-04 
val#76,1.002865256e+01,9.992065128e-01,2.856096941e-04 
val#77,1.002903158e+01,9.991997298e-01,2.908394437e-04 
val#78,1.002941065e+01,9.991938181e-01,2.962132507e-04 
val#79,1.002978977e+01,9.991888209e-01,3.017312315e-04 
val#80,1.003016894e+01,9.991847821e-01,3.073929154e-04 
val#81,1.003054817e+01,9.991817446e-01,3.131973037e-04 
val#82,1.003092745e+01,9.991797515e-01,3.191428036e-04 
val#83,1.003130678e+01,9.991788453e-01,3.252272016e-04 
val#84,1.003168617e+01,9.991790678e-01,3.314476041e-04 
val#85,1.003206561e+01,9.991804599e-01,3.378004584e-04 
val#86,1.003244510e+01,9.991830615e-01,3.442814152e-04 
val#87,1.003282464e+01,9.991869114e-01,3.508854101e-04 
val#88,1.003320424e+01,9.991920464e-01,3.576065343e-04 
val#89,1.003358389e+01,9.991985020e-01,3.644380404e-04 
val#90,1.003396359e+01,9.992063117e-01,3.713723896e-04 
val#91,1.003434334e+01,9.992155064e-01,3.784011422e-04 
val#92,1.003472315e+01,9.992261150e-01,3.855149995e-04 
val#93,1.003510301e+01,9.992381634e-01,3.927038183e-04 
val#94,1.003548292e+01,9.992516745e-01,3.999564940e-04 
val#95,1.003586288e+01,9.992666679e-01,4.072611769e-04 
val#96,1.003624290e+01,9.992831601e-01,4.146050871e-04 
val#97,1.003662297e+01,9.993011634e-01,4.219747214e-04 
val#98,1.003700309e+01,9.993206863e-01,4.293557587e-04 
val#99,1.003738327e+01,9.993417332e-01,4.367332041e-04 
val#100,1.003776350e+01,9.993643039e-01,4.440913612e-04 
val#101,1.003814378e+01,9.993883934e-01,4.514139947e-04 
val#102,1.003852411e+01,9.994139927e-01,4.586843811e-04 
val#103,1.003890450e+01,9.994410869e-01,4.658853122e-04 
val#104,1.003928494e+01,9.994696564e-01,4.729993214e-04 
val#105,1.003966543e+01,9.994996768e-01,4.800087159e-04 
val#106,1.004004598e+01,9.995311180e-01,4.868957336e-04 
val#107,1.004042658e+01,9.995639449e-01,4.936425860e-04 
val#108,1.004080723e+01,9.995981169e-01,5.002317240e-04 
val#109,1.004118793e+01,9.996335884e-01,5.066458018e-04 
val#110,1.004156869e+01,9.996703086e-01,5.128679165e-04 
val#111,1.004194950e+01,9.997082218e-01,5.188817255e-04 
val#112,1.004233036e+01,9.997472672e-01,5.246715729e-04 
val#113,1.004271128e+01,9.997873793e-01,5.302225389e-04 
val#114,1.004309225e+01,9.998284886e-01,5.355207426e-04 
val#115,1.004347327e+01,9.998705209e-01,5.405532657e-04 
val#116,1.004385435e+01,9.999133987e-01,5.453084446e-04 
val#117,1.004423547e+01,9.999570404e-01,5.497758115e-04 
val#118,1.004461665e+01,1.000001362e+00,5.539461877e-04 
val#119,1.004499789e+01,1.000046275e+00,5.578119501e-04 
val#120,1.004537918e+01,1.000091691e+00,5.613668510e-04 
val#121,1.004576052e+01,1.000137519e+00,5.646062558e-04 
val#122,1.004614191e+01,1.000183665e+00,5.675270434e-04 
val#123,1.004652336e+01,1.000230035e+00,5.701276527e-04 
val#124,1.004690486e+01,1.000276534e+00,5.724081784e-04 
val#125,1.004728641e+01,1.000323069e+00,5.743702328e-04 
val#126,1.004766802e+01,1.000369545e+00,5.760169253e-04 
val#127,1.004804967e+01,1.000415869e+00,5.773529926e-04 
val#128,1.004843139e+01,1.000461947e+00,5.783843737e-04 
val#129,1.004881315e+01,1.000507691e+00,5.791185799e-04 
val#130,1.004919497e+01,1.000553011e+00,5.795643060e-04 
val#131,1.004957684e+01,1.000597821e+00,5.797314370e-04 
val#132,1.004995877e+01,1.000642038e+00,5.796308824e-04 
val#133,1.005034075e+01,1.000685582e+00,5.792745862e-04 
val#134,1.005072278e+01,1.000728376e+00,5.786753730e-04 
val#135,1.005110486e+01,1.000770347e+00,5.778467372e-04 
val#136,1.005148700e+01,1.000811425e+00,5.768027980e-04 
val#137,1.005186919e+01,1.000851545e+00,5.755582794e-04 
val#138,1.005225144e+01,1.000890646e+00,5.741281473e-04 
val#139,1.005263373e+01,1.000928672e+00,5.725277056e-04 
val#140,1.005301608e+01,1.000965568e+00,5.707724258e-04 
val#141,1.005339849e+01,1.001001288e+00,5.688777657e-04 
val#142,1.005378095e+01,1.001035788e+00,5.668591705e-04 
val#143,1.005416346e+01,1.001069027e+00,5.647319654e-04 
val#144,1.005454602e+01,1.001100972e+00,5.625112019e-04 
val#145,1.005492864e+01,1.001131591e+00,5.602116260e-04 
val#146,1.005531131e+01,1.001160858e+00,5.578475384e-04 
val#147,1.005569404e+01,1.001188751e+00,5.554329575e-04 
val#148,1.005607682e+01,1.001215251e+00,5.529811477e-04 
val#149,1.005645965e+01,1.001240343e+00,5.505050697e-04 
val#150,1.005684253e+01,1.001264018e+00,5.480168935e-04 
val#151,1.005722547e+01,1.001286268e+00,5.455282864e-04 
val#152,1.005760846e+01,1.001307089e+00,5.430502452e-04 
val#153,1.005799151e+01,1.001326480e+00,5.405930204e-04 
val#154,1.005837461e+01,1.001344443e+00,5.381663327e-04 
val#155,1.005875776e+01,1.001360985e+00,5.357790500e-04 
val#156,1.005914097e+01,1.001376112e+00,5.334395359e-04 
val#157,1.005952422e+01,1.001389834e+00,5.311553561e-04 
val#158,1.005990754e+01,1.001402165e+00,5.289334026e-04 
val#159,1.006029090e+01,1.001413119e+00,5.267800470e-04 
val#160,1.006067432e+01,1.001422713e+00,5.247008864e-04 
val#161,1.006105780e+01,1.001430964e+00,5.227010021e-04 
val#162,1.006144133e+01,1.001437893e+00,5.207848641e-04 
val#163,1.006182491e+01,1.001443521e+00,5.189563479e-04 
val#164,1.006220854e+01,1.001447869e+00,5.172187980e-04 
val#165,1.006259223e+01,1.001450963e+00,5.155750689e-04 
val#166,1.006297597e+01,1.001452825e+00,5.140274635e-04 
val#167,1.006335977e+01,1.001453483e+00,5.125779415e-04 
val#168,1.006374362e+01,1.001452960e+00,5.112279483e-04 
val#169,1.006412752e+01,1.001451286e+00,5.099786115e-04 
val#170,1.006451148e+01,1.001448485e+00,5.088305751e-04 
val#171,1.006489549e+01,1.001444586e+00,5.077842219e-04 
val#172,1.006527955e+01,1.001439616e+00,5.068396112e-04 
val#173,1.006566367e+01,1.001433604e+00,5.059964932e-04 
val#174,1.006604784e+01,1.001426577e+00,5.052543232e-04 
val#175,1.006643207e+01,1.001418563e+00,5.046124165e-04 
val#176,1.006681634e+01,1.001409590e+00,5.040697707e-04 
val#177,1.006720068e+01,1.001399685e+00,5.036252819e-04 
val#178,1.006758506e+01,1.001388878e+00,5.032774874e-04 
val#179,1.006796951e+01,1.001377194e+00,5.030249994e-04 
val#180,1.006835400e+01,1.001364662e+00,5.028661654e-04 
val#181,1.006873855e+01,1.001351308e+00,5.027992014e-04 
val#182,1.006912315e+01,1.001337158e+00,5.028223064e-04 
val#183,1.006950781e+01,1.001322239e+00,5.029335059e-04 
val#184,1.006989252e+01,1.001306576e+00,5.031308236e-04 
val#185,1.007027728e+01,1.001290196e+00,5.034120952e-04 
val#186,1.007066210e+01,1.001273122e+00,5.037753153e-04 
val#187,1.007104697e+01,1.001255379e+00,5.042182077e-04 
val#188,1.007143189e+01,1.001236991e+00,5.047386622e-04 
val#189,1.007181687e+01,1.001217983e+00,5.053343887e-04 
val#190,1.007220191e+01,1.001198376e+00,5.060031883e-04 
val#191,1.007258699e+01,1.001178193e+00,5.067428671e-04 
val#192,1.007297214e+01,1.001157457e+00,5.075511420e-04 
val#193,1.007335733e+01,1.001136189e+00,5.084257938e-04 
val#194,1.007374258e+01,1.001114410e+00,5.093646856e-04 
val#195,1.007412788e+01,1.001092141e+00,5.103654784e-04 
val#196,1.007451324e+01,1.001069401e+00,5.114261592e-04 
val#197,1.007489865e+01,1.001046211e+00,5.125444593e-04 
val#198,1.007528412e+01,1.001022590e+00,5.137182885e-04 
val#199,1.007566964e+01,1.000998555e+00,5.149456145e-04 
val#200,1.007605521e+01,1.000974127e+00,5.162242885e-04 
val#201,1.007644084e+01,1.000949322e+00,5.175523450e-04 
val#202,1.007682652e+01,1.000924157e+00,5.189277705e-04 
val#203,1.007721226e+01,1.000898651e+00,5.203486623e-04 
val#204,1.007759805e+01,1.000872818e+00,5.218130406e-04 
val#205,1.007798389e+01,1.000846677e+00,5.233190215e-04 
val#206,1.007836979e+01,1.000820241e+00,5.248648129e-04 
val#207,1.007875575e+01,1.000793526e+00,5.264486144e-04 
val#208,1.007914175e+01,1.000766549e+00,5.280685976e-04 
val#209,1.007952781e+01,1.000739322e+00,5.297230937e-04 
val#210,1.007991393e+01,1.000711861e+00,5.314104179e-04 
val#211,1.008030010e+01,1.000684180e+00,5.331288640e-04 
val#212,1.008068632e+01,1.000656291e+00,5.348767960e-04 
val#213,1.008107260e+01,1.000628210e+00,5.366526892e-04 
val#214,1.008145893e+01,1.000599947e+00,5.384550060e-04 
val#215,1.008184532e+01,1.000571518e+00,5.402821564e-04 
val#216,1.008223176e+01,1.000542933e+00,5.421326691e-04 
val#217,1.008261826e+01,1.000514206e+00,5.440051383e-04 
val#218,1.008300481e+01,1.000485348e+00,5.458980836e-04 
val#219,1.008339141e+01,1.000456372e+00,5.478101372e-04 
val#220,1.008377807e+01,1.000427289e+00,5.497398456e-04 
val#221,1.008416478e+01,1.000398110e+00,5.516858928e-04 
val#222,1.008455155e+01,1.000368847e+00,5.536469755e-04 
val#223,1.008493837e+01,1.000339510e+00,5.556217697e-04 
val#224,1.008532525e+01,1.000310112e+00,5.576089779e-04 
val#225,1.008571218e+01,1.000280662e+00,5.596073165e-04 
val#226,1.008609916e+01,1.000251172e+00,5.616155275e-04 
val#227,1.008648620e+01,1.000221652e+00,5.636324446e-04 
val#228,1.008687329e+01,1.000192112e+00,5.656567216e-04 
val#229,1.008726044e+01,1.000162563e+00,5.676871737e-04 
val#230,1.008764765e+01,1.000133015e+00,5.697226798e-04 
val#231,1.008803490e+01,1.000103479e+00,5.717619419e-04 
val#232,1.008842221e+01,1.000073964e+00,5.738038071e-04 
val#233,1.008880958e+01,1.000044481e+00,5.758471005e-04 
val#234,1.008919700e+01,1.000015040e+00,5.778906038e-04 
val#235,1.008958448e+01,9.999856512e-01,5.799331769e-04 
val#236,1.008997201e+01,9.999563244e-01,5.819736313e-04 
val#237,1.009035959e+01,9.999270699e-01,5.840107159e-04 
val#238,1.009074723e+01,9.998978978e-01,5.860433187e-04 
val#239,1.009113492e+01,9.998688183e-01,5.880702056e-04 
val#240,1.009152267e+01,9.998398417e-01,5.900902036e-04 
val#241,1.009191048e+01,9.998109782e-01,5.921021744e-04 
val#242,1.009229833e+01,9.997822380e-01,5.941047524e-04 
val#243,1.009268625e+01,9.997536319e-01,5.960968165e-04 
val#244,1.009307421e+01,9.997251700e-01,5.980770968e-04 
val#245,1.009346223e+01,9.996968634e-01,6.000443296e-04 
val#246,1.009385031e+01,9.996687225e-01,6.019972801e-04 
val#247,1.009423844e+01,9.996407582e-01,6.039346416e-04 
val#248,1.009462663e+01,9.996129819e-01,6.058550716e-04 
val#249,1.009501487e+01,9.995854043e-01,6.077573032e-04 
val#250,1.009540316e+01,9.995580371e-01,6.096399970e-04 
val#251,1.009579151e+01,9.995308917e-01,6.115017024e-04 
val#252,1.009617992e+01,9.995039799e-01,6.133410755e-04 
val#253,1.009656838e+01,9.994773136e-01,6.151566521e-04 
val#254,1.009695689e+01,9.994509050e-01,6.169470817e-04 
val#255,1.009734546e+01,9.994247666e-01,6.187107849e-04 
val#256,1.009773409e+01,9.993989109e-01,6.204462918e-04 
val#257,1.009812277e+01,9.993733509e-01,6.221521276e-04 
val#258,1.009851150e+01,9.993480996e-01,6.238265981e-04 
val#259,1.009890029e+01,9.993231708e-01,6.254682569e-04 
val#260,1.009928913e+01,9.992985780e-01,6.270753405e-04 
val#261,1.009967803e+01,9.992743352e-01,6.286462093e-04 
val#262,1.010006698e+01,9.992504571e-01,6.301792204e-04 
val#263,1.010045599e+01,9.992269582e-01,6.316726250e-04 
val#264,1.010084506e+01,9.992038535e-01,6.331246261e-04 
val#265,1.010123417e+01,9.991811585e-01,6.345334414e-04 
val#266,1.010162335e+01,9.991588889e-01,6.358972840e-04 
val#267,1.010201258e+01,9.991370611e-01,6.372141864e-04 
val#268,1.010240186e+01,9.991156912e-01,6.384823839e-04 
val#269,1.010279120e+01,9.990947965e-01,6.396998580e-04 
val#270,1.010318059e+01,9.990743941e-01,6.408646647e-04 
val#271,1.010357004e+01,9.990545019e-01,6.419749157e-04 
val#272,1.010395954e+01,9.990351378e-01,6.430284915e-04 
val#273,1.010434910e+01,9.990163205e-01,6.440234207e-04 
val#274,1.010473871e+01,9.989980689e-01,6.449576941e-04 
val#275,1.010512838e+01,9.989804023e-01,6.458291874e-04 
val#276,1.010551811e+01,9.989633408e-01,6.466359385e-04 
val#277,1.010590788e+01,9.989469042e-01,6.473758174e-04 
val#278,1.010629772e+01,9.989311135e-01,6.480467225e-04 
val#279,1.010668761e+01,9.989159894e-01,6.486466345e-04 
val#280,1.010707755e+01,9.989015536e-01,6.491735749e-04 
val#281,1.010746755e+01,9.988878278e-01,6.496254591e-04 
val#282,1.010785761e+01,9.988748340e-01,6.500003476e-04 
val#283,1.010824772e+01,9.988625952e-01,6.502962366e-04 
val#284,1.010863788e+01,9.988511340e-01,6.505112940e-04 
val#285,1.010902810e+01,9.988404735e-01,6.506437220e-04 
val#286,1.010941838e+01,9.988306373e-01,6.506916922e-04 
val#287,1.010980871e+01,9.988216490e-01,6.506535687e-04 
val#288,1.011019909e+01,9.988135326e-01,6.505278954e-04 
val#289,1.011058953e+01,9.988063123e-01,6.503131332e-04 
val#290,1.011098003e+01,9.988000119e-01,6.500080773e-04 
val#291,1.011137058e+01,9.987946559e-01,6.496115615e-04 
val#292,1.011176119e+01,9.987902686e-01,6.491226479e-04 
val#293,1.011215185e+01,9.987868740e-01,6.485405930e-04 
val#294,1.011254257e+01,9.987844962e-01,6.478648451e-04 
val#295,1.011293334e+01,9.987831588e-01,6.470951158e-04 
val#296,1.011332417e+01,9.987828855e-01,6.462314405e-04 
val#297,1.011371506e+01,9.987836990e-01,6.452740310e-04 
val#298,1.011410600e+01,9.987856222e-01,6.442234796e-04 
val#299,1.011449699e+01,9.987886766e-01,6.430807026e-04 
val#300,1.011488804e+01,9.987928835e-01,6.418471019e-04 
val#301,1.011527915e+01,9.987982629e-01,6.405242602e-04 
val#302,1.011567031e+01,9.988048342e-01,6.391143520e-04 
val#303,1.011606152e+01,9.988126152e-01,6.376200193e-04 
val#304,1.011645280e+01,9.988216224e-01,6.360441388e-04 
val#305,1.011684412e+01,9.988318711e-01,6.343904847e-04 
val#306,1.011723551e+01,9.988433747e-01,6.326630435e-04 
val#307,1.011762694e+01,9.988561446e-01,6.308664247e-04 
val#308,1.011801844e+01,9.988701903e-01,6.290058373e-04 
val#309,1.011840999e+01,9.988855190e-01,6.270871440e-04 
val#310,1.011880159e+01,9.989021358e-01,6.251166973e-04 
val#311,1.011919325e+01,9.989200425e-01,6.231015153e-04 
val#312,1.011958497e+01,9.989392386e-01,6.210492307e-04 
val#313,1.011997674e+01,9.989597204e-01,6.189681075e-04 
val#314,1.012036857e+01,9.989814806e-01,6.168670257e-04 
val#315,1.012076045e+01,9.990045091e-01,6.147553837e-04 
val#316,1.012115239e+01,9.990287917e-01,6.126433886e-04 
val#317,1.012154439e+01,9.990543105e-01,6.105415107e-04 
val#318,1.012193644e+01,9.990810436e-01,6.084610589e-04 
val#319,1.012232854e+01,9.991089650e-01,6.064135954e-04 
val#320,1.012272071e+01,9.991380444e-01,6.044112336e-04 
val#321,1.012311292e+01,9.991682473e-01,6.024664786e-04 
val#322,1.012350520e+01,9.991995342e-01,6.005921260e-04 
val#323,1.012389752e+01,9.992318615e-01,5.988012833e-04 
val#324,1.012428991e+01,9.992651807e-01,5.971070820e-04 
val#325,1.012468235e+01,9.992994389e-01,5.955228776e-04 
val#326,1.012507485e+01,9.993345787e-01,5.940620344e-04 
val#327,1.012546740e+01,9.993705376e-01,5.927375318e-04 
val#328,1.012586001e+01,9.994072495e-01,5.915623438e-04 
val#329,1.012625267e+01,9.994446433e-01,5.905491222e-04 
val#330,1.012664539e+01,9.994826442e-01,5.897098888e-04 
val#331,1.012703816e+01,9.995211734e-01,5.890561980e-04 
val#332,1.012743099e+01,9.995601485e-01,5.885988337e-04 
val#333,1.012782388e+01,9.995994839e-01,5.883478173e-04 
val#334,1.012821682e+01,9.996390910e-01,5.883122738e-04 
val#335,1.012860982e+01,9.996788787e-01,5.885001622e-04 
val#336,1.012900288e+01,9.997187538e-01,5.889184377e-04 
val#337,1.012939599e+01,9.997586214e-01,5.895727874e-04 
val#338,1.012978916e+01,9.997983856e-01,5.904676655e-04 
val#339,1.013018238e+01,9.998379495e-01,5.916060102e-04 
val#340,1.013057566e+01,9.998772167e-01,5.929895234e-04 
val#341,1.013096899e+01,9.999160909e-01,5.946183562e-04 
val#342,1.013136238e+01,9.999544766e-01,5.964912464e-04 
val#343,1.013175583e+01,9.999922804e-01,5.986055934e-04 
val#344,1.013214933e+01,1.000029411e+00,6.009570367e-04 
val#345,1.013254289e+01,1.000065778e+00,6.035400780e-04 
val#346,1.013293650e+01,1.000101298e+00,6.063478834e-04 
val#347,1.013333017e+01,1.000135887e+00,6.093720939e-04 
val#348,1.013372390e+01,1.000169468e+00,6.126033876e-04 
val#349,1.013411768e+01,1.000201967e+00,6.160312155e-04 
val#350,1.013451152e+01,1.000233317e+00,6.196440642e-04 
val#351,1.013490542e+01,1.000263454e+00,6.234294894e-04 
val#352,1.013529937e+01,1.000292320e+00,6.273743506e-04 
val#353,1.013569338e+01,1.000319863e+00,6.314648243e-04 
val#354,1.013608744e+01,1.000346039e+00,6.356866076e-04 
val#355,1.013648156e+01,1.000370807e+00,6.400250308e-04 
val#356,1.013687574e+01,1.000394134e+00,6.444653689e-04 
val#357,1.013726997e+01,1.000415992e+00,6.489924581e-04 
val#358,1.013766426e+01,1.000436362e+00,6.535914753e-04 
val#359,1.013805860e+01,1.000455228e+00,6.582476339e-04 
val#360,1.013845300e+01,1.000472581e+00,6.629464066e-04 
val#361,1.013884746e+01,1.000488419e+00,6.676737328e-04 
val#362,1.013924197e+01,1.000502744e+00,6.724158928e-04 
val#363,1.013963654e+01,1.000515565e+00,6.771598161e-04 
val#364,1.014003117e+01,1.000526895e+00,6.818930206e-04 
val#365,1.014042585e+01,1.000536751e+00,6.866037231e-04 
val#366,1.014082059e+01,1.000545158e+00,6.912808362e-04 
val#367,1.014121539e+01,1.000552142e+00,6.959140922e-04 
val#368,1.014161024e+01,1.000557735e+00,7.004940013e-04 
val#369,1.014200514e+01,1.000561970e+00,7.050119056e-04 
val#370,1.014240011e+01,1.000564886e+00,7.094599643e-04 
val#371,1.014279513e+01,1.000566524e+00,7.138311114e-04 
val#372,1.014319021e+01,1.000566926e+00,7.181192035e-04 
val#373,1.014358534e+01,1.000566138e+00,7.223187548e-04 
val#374,1.014398053e+01,1.000564208e+00,7.264250938e-04 
val#375,1.014437578e+01,1.000561184e+00,7.304344199e-04 
val#376,1.014477108e+01,1.000557117e+00,7.343434786e-04 
val#377,1.014516644e+01,1.000552057e+00,7.381496231e-04 
val#378,1.014556185e+01,1.000546058e+00,7.418511695e-04 
val#379,1.014595733e+01,1.000539170e+00,7.454466204e-04 
val#380,1.014635286e+01,1.000531447e+00,7.489352792e-04 
val#381,1.014674844e+01,1.000522941e+00,7.523168997e-04 
val#382,1.014714408e+01,1.000513704e+00,7.555916418e-04 
val#383,1.014753978e+01,1.000503789e+00,7.587601214e-04 
val#384,1.014793554e+01,1.000493247e+00,7.618233699e-04 
val#385,1.014833135e+01,1.000482128e+00,7.647826171e-04 
val#386,1.014872722e+01,1.000470483e+00,7.676395751e-04 
val#387,1.014912314e+01,1.000458360e+00,7.703959918e-04 
val#388,1.014951912e+01,1.000445808e+00,7.730539851e-04 
val#389,1.014991516e+01,1.000432873e+00,7.756158832e-04 
val#390,1.015031126e+01,1.000419601e+00,7.780840236e-04 
val#391,1.015070741e+01,1.000406036e+00,7.804609450e-04 
val#392,1.015110362e+01,1.000392222e+00,7.827493212e-04 
val#393,1.015149988e+01,1.000378201e+00,7.849518197e-04 
val#394,1.015189620e+01,1.000364012e+00,7.870712302e-04 
val#395,1.015229258e+01,1.000349695e+00,7.891103196e-04 
val#396,1.015268902e+01,1.000335288e+00,7.910718687e-04 
val#397,1.015308551e+01,1.000320827e+00,7.929587445e-04 
val#398,1.015348206e+01,1.000306347e+00,7.947735927e-04 
val#399,1.015387866e+01,1.000291882e+00,7.965192121e-04 
val#400,1.015427532e+01,1.000277464e+00,7.981983112e-04 
val#401,1.015467204e+01,1.000263123e+00,7.998135184e-04 
val#402,1.015506882e+01,1.000248890e+00,8.013673532e-04 
val#403,1.015546565e+01,1.000234793e+00,8.028623784e-04 
val#404,1.015586254e+01,1.000220860e+00,8.043010406e-04 
val#405,1.015625949e+01,1.000207115e+00,8.056856643e-04 
val#406,1.015665649e+01,1.000193585e+00,8.070184736e-04 
val#407,1.015705355e+01,1.000180292e+00,8.083017099e-04 
val#408,1.015745067e+01,1.000167259e+00,8.095375025e-04 
val#409,1.015784784e+01,1.000154507e+00,8.107277844e-04 
val#410,1.015824508e+01,1.000142058e+00,8.118745218e-04 
val#411,1.015864236e+01,1.000129931e+00,8.129794940e-04 
val#412,1.015903971e+01,1.000118143e+00,8.140445395e-04 
val#413,1.015943711e+01,1.000106713e+00,8.150712737e-04 
val#414,1.015983457e+01,1.000095658e+00,8.160612190e-04 
val#415,1.016023209e+01,1.000084993e+00,8.170159288e-04 
val#416,1.016062966e+01,1.000074733e+00,8.179367764e-04 
val#417,1.016102729e+01,1.000064893e+00,8.188250797e-04 
val#418,1.016142498e+01,1.000055486e+00,8.196820796e-04 
val#419,1.016182272e+01,1.000046525e+00,8.205089546e-04 
val#420,1.016222052e+01,1.000038023e+00,8.213067540e-04 
val#421,1.016261838e+01,1.000029991e+00,8.220765508e-04 
val#422,1.016301630e+01,1.000022439e+00,8.228192432e-04 
val#423,1.016341427e+01,1.000015379e+00,8.235357635e-04 
val#424,1.016381230e+01,1.000008820e+00,8.242268667e-04 
val#425,1.016421039e+01,1.000002772e+00,8.248933419e-04 
val#426,1.016460853e+01,9.999972420e-01,8.255358370e-04 
val#427,1.016500673e+01,9.999922398e-01,8.261550471e-04 
val#428,1.016540499e+01,9.999877729e-01,8.267515034e-04 
val#429,1.016580331e+01,9.999838485e-01,8.273256937e-04 
val#430,1.016620168e+01,9.999804737e-01,8.278781053e-04 
val#431,1.016660011e+01,9.999776550e-01,8.284091463e-04 
val#432,1.016699860e+01,9.999753985e-01,8.289192039e-04 
val#433,1.016739715e+01,9.999737100e-01,8.294085653e-04 
val#434,1.016779575e+01,9.999725950e-01,8.298774881e-04 
val#435,1.016819441e+01,9.999720584e-01,8.303261975e-04 
