 ,f,|hNSNS/hBHBH|,arg(hNSNS/hBHBH) 
val#5509,1.350176074e+01,9.955892116e-01,-1.488141621e-02 
val#5510,1.350288855e+01,9.960077746e-01,-1.486114896e-02 
val#5511,1.350401671e+01,9.964463046e-01,-1.484470606e-02 
val#5512,1.350514522e+01,9.969030148e-01,-1.483255938e-02 
val#5513,1.350627407e+01,9.973758858e-01,-1.482514740e-02 
val#5514,1.350740327e+01,9.978626811e-01,-1.482286415e-02 
val#5515,1.350853281e+01,9.983609692e-01,-1.482604810e-02 
val#5516,1.350966270e+01,9.988681512e-01,-1.483497283e-02 
val#5517,1.351079293e+01,9.993814919e-01,-1.484983859e-02 
val#5518,1.351192352e+01,9.998981569e-01,-1.487076614e-02 
val#5519,1.351305445e+01,1.000415252e+00,-1.489779259e-02 
val#5520,1.351418572e+01,1.000929863e+00,-1.493086970e-02 
val#5521,1.351531735e+01,1.001439100e+00,-1.496986497e-02 
val#5522,1.351644932e+01,1.001940138e+00,-1.501456481e-02 
val#5523,1.351758164e+01,1.002430258e+00,-1.506468040e-02 
val#5524,1.351871431e+01,1.002906880e+00,-1.511985544e-02 
val#5525,1.351984732e+01,1.003367600e+00,-1.517967576e-02 
val#5526,1.352098069e+01,1.003810218e+00,-1.524368021e-02 
val#5527,1.352211440e+01,1.004232758e+00,-1.531137202e-02 
val#5528,1.352324846e+01,1.004633485e+00,-1.538223104e-02 
val#5529,1.352438287e+01,1.005010920e+00,-1.545572520e-02 
val#5530,1.352551763e+01,1.005363841e+00,-1.553132201e-02 
val#5531,1.352665274e+01,1.005691281e+00,-1.560849864e-02 
val#5532,1.352778819e+01,1.005992529e+00,-1.568675093e-02 
val#5533,1.352892400e+01,1.006267116e+00,-1.576560135e-02 
val#5534,1.353006016e+01,1.006514802e+00,-1.584460497e-02 
val#5535,1.353119666e+01,1.006735559e+00,-1.592335434e-02 
val#5536,1.353233352e+01,1.006929557e+00,-1.600148261e-02 
val#5537,1.353347073e+01,1.007097137e+00,-1.607866543e-02 
val#5538,1.353460828e+01,1.007238797e+00,-1.615462167e-02 
val#5539,1.353574619e+01,1.007355167e+00,-1.622911276e-02 
val#5540,1.353688445e+01,1.007446992e+00,-1.630194160e-02 
val#5541,1.353802306e+01,1.007515107e+00,-1.637295031e-02 
val#5542,1.353916202e+01,1.007560424e+00,-1.644201780e-02 
val#5543,1.354030133e+01,1.007583911e+00,-1.650905662e-02 
val#5544,1.354144100e+01,1.007586577e+00,-1.657400981e-02 
val#5545,1.354258101e+01,1.007569457e+00,-1.663684767e-02 
val#5546,1.354372138e+01,1.007533602e+00,-1.669756427e-02 
val#5547,1.354486210e+01,1.007480064e+00,-1.675617439e-02 
val#5548,1.354600317e+01,1.007409888e+00,-1.681271021e-02 
val#5549,1.354714460e+01,1.007324103e+00,-1.686721863e-02 
val#5550,1.354828638e+01,1.007223720e+00,-1.691975840e-02 
val#5551,1.354942851e+01,1.007109716e+00,-1.697039772e-02 
val#5552,1.355057099e+01,1.006983043e+00,-1.701921214e-02 
val#5553,1.355171383e+01,1.006844613e+00,-1.706628262e-02 
val#5554,1.355285702e+01,1.006695301e+00,-1.711169367e-02 
val#5555,1.355400056e+01,1.006535945e+00,-1.715553209e-02 
val#5556,1.355514446e+01,1.006367341e+00,-1.719788567e-02 
val#5557,1.355628871e+01,1.006190243e+00,-1.723884206e-02 
val#5558,1.355743332e+01,1.006005366e+00,-1.727848808e-02 
val#5559,1.355857828e+01,1.005813386e+00,-1.731690880e-02 
val#5560,1.355972360e+01,1.005614937e+00,-1.735418724e-02 
val#5561,1.356086927e+01,1.005410616e+00,-1.739040378e-02 
val#5562,1.356201529e+01,1.005200985e+00,-1.742563577e-02 
val#5563,1.356316167e+01,1.004986567e+00,-1.745995759e-02 
val#5564,1.356430841e+01,1.004767854e+00,-1.749344026e-02 
val#5565,1.356545550e+01,1.004545305e+00,-1.752615135e-02 
val#5566,1.356660295e+01,1.004319348e+00,-1.755815522e-02 
val#5567,1.356775075e+01,1.004090385e+00,-1.758951277e-02 
val#5568,1.356889891e+01,1.003858788e+00,-1.762028164e-02 
val#5569,1.357004743e+01,1.003624906e+00,-1.765051632e-02 
val#5570,1.357119630e+01,1.003389063e+00,-1.768026817e-02 
val#5571,1.357234553e+01,1.003151564e+00,-1.770958571e-02 
val#5572,1.357349511e+01,1.002912691e+00,-1.773851461e-02 
val#5573,1.357464506e+01,1.002672711e+00,-1.776709805e-02 
val#5574,1.357579536e+01,1.002431870e+00,-1.779537664e-02 
val#5575,1.357694602e+01,1.002190403e+00,-1.782338890e-02 
val#5576,1.357809703e+01,1.001948530e+00,-1.785117111e-02 
val#5577,1.357924840e+01,1.001706457e+00,-1.787875783e-02 
val#5578,1.358040014e+01,1.001464381e+00,-1.790618174e-02 
val#5579,1.358155223e+01,1.001222488e+00,-1.793347413e-02 
val#5580,1.358270467e+01,1.000980958e+00,-1.796066488e-02 
val#5581,1.358385748e+01,1.000739962e+00,-1.798778274e-02 
val#5582,1.358501065e+01,1.000499667e+00,-1.801485539e-02 
val#5583,1.358616417e+01,1.000260232e+00,-1.804190979e-02 
val#5584,1.358731806e+01,1.000021818e+00,-1.806897214e-02 
val#5585,1.358847230e+01,9.997845796e-01,-1.809606823e-02 
val#5586,1.358962690e+01,9.995486722e-01,-1.812322353e-02 
val#5587,1.359078186e+01,9.993142513e-01,-1.815046335e-02 
val#5588,1.359193719e+01,9.990814734e-01,-1.817781295e-02 
val#5589,1.359309287e+01,9.988504978e-01,-1.820529784e-02 
val#5590,1.359424891e+01,9.986214875e-01,-1.823294384e-02 
val#5591,1.359540532e+01,9.983946101e-01,-1.826077723e-02 
val#5592,1.359656208e+01,9.981700394e-01,-1.828882495e-02 
val#5593,1.359771921e+01,9.979479564e-01,-1.831711475e-02 
val#5594,1.359887669e+01,9.977285506e-01,-1.834567529e-02 
val#5595,1.360003454e+01,9.975120213e-01,-1.837453635e-02 
val#5596,1.360119275e+01,9.972985784e-01,-1.840372895e-02 
val#5597,1.360235132e+01,9.970884445e-01,-1.843328546e-02 
val#5598,1.360351026e+01,9.968818557e-01,-1.846323976e-02 
val#5599,1.360466955e+01,9.966790631e-01,-1.849362737e-02 
val#5600,1.360582921e+01,9.964803341e-01,-1.852448551e-02 
val#5601,1.360698923e+01,9.962859537e-01,-1.855585327e-02 
val#5602,1.360814961e+01,9.960962264e-01,-1.858777156e-02 
val#5603,1.360931036e+01,9.959114772e-01,-1.862028332e-02 
val#5604,1.361047147e+01,9.957320529e-01,-1.865343338e-02 
val#5605,1.361163294e+01,9.955583241e-01,-1.868726855e-02 
val#5606,1.361279478e+01,9.953906856e-01,-1.872183755e-02 
val#5607,1.361395698e+01,9.952295588e-01,-1.875719083e-02 
val#5608,1.361511954e+01,9.950753920e-01,-1.879338049e-02 
val#5609,1.361628247e+01,9.949286618e-01,-1.883045994e-02 
val#5610,1.361744576e+01,9.947898740e-01,-1.886848365e-02 
val#5611,1.361860942e+01,9.946595645e-01,-1.890750668e-02 
