value number,time,chieff,deltachi,J,phiz,thetaL 
val#31,5.326842029e+08,4.316213729e-01,6.969227315e-02,2.926136796e+00,4.073042238e-01,-4.076796928e-01,3.058818263e-02,7.222072990e-02,4.315905911e-01 
val#32,5.498675642e+08,4.316212622e-01,6.970140035e-02,2.926102957e+00,4.204797304e-01,-4.208664185e-01,3.057547090e-02,7.222070573e-02,4.315905914e-01 
val#33,5.670509256e+08,4.316211508e-01,6.971058636e-02,2.926069115e+00,4.336575231e-01,-4.340553734e-01,3.056266927e-02,7.222068155e-02,4.315905917e-01 
val#34,5.842342870e+08,4.316210387e-01,6.971983097e-02,2.926035270e+00,4.468376141e-01,-4.472465690e-01,3.054977791e-02,7.222065736e-02,4.315905920e-01 
val#35,6.014176484e+08,4.316209258e-01,6.972913398e-02,2.926001423e+00,4.600200156e-01,-4.604400173e-01,3.053679700e-02,7.222063317e-02,4.315905923e-01 
val#36,6.186010098e+08,4.316208123e-01,6.973849520e-02,2.925967572e+00,4.732047398e-01,-4.736357301e-01,3.052372670e-02,7.222060898e-02,4.315905926e-01 
val#37,6.357843712e+08,4.316206980e-01,6.974791441e-02,2.925933718e+00,4.863917987e-01,-4.868337190e-01,3.051056719e-02,7.222058479e-02,4.315905929e-01 
val#38,6.529677325e+08,4.316205830e-01,6.975739142e-02,2.925899861e+00,4.995812047e-01,-5.000339960e-01,3.049731865e-02,7.222056060e-02,4.315905932e-01 
val#39,6.701510939e+08,4.316204673e-01,6.976692601e-02,2.925866001e+00,5.127729700e-01,-5.132365730e-01,3.048398125e-02,7.222053640e-02,4.315905935e-01 
val#40,6.873344553e+08,4.316203509e-01,6.977651798e-02,2.925832139e+00,5.259671069e-01,-5.264414618e-01,3.047055517e-02,7.222051219e-02,4.315905938e-01 
val#41,7.045178167e+08,4.316202338e-01,6.978616711e-02,2.925798273e+00,5.391636277e-01,-5.396486743e-01,3.045704060e-02,7.222048799e-02,4.315905941e-01 
val#42,7.217011781e+08,4.316201161e-01,6.979587320e-02,2.925764404e+00,5.523625446e-01,-5.528582226e-01,3.044343770e-02,7.222046378e-02,4.315905944e-01 
val#43,7.388845394e+08,4.316199976e-01,6.980563603e-02,2.925730532e+00,5.655638701e-01,-5.660701185e-01,3.042974668e-02,7.222043957e-02,4.315905947e-01 
val#44,7.560679008e+08,4.316198784e-01,6.981545540e-02,2.925696657e+00,5.787676165e-01,-5.792843742e-01,3.041596770e-02,7.222041535e-02,4.315905950e-01 
val#45,7.732512622e+08,4.316197586e-01,6.982533108e-02,2.925662780e+00,5.919737963e-01,-5.925010016e-01,3.040210096e-02,7.222039114e-02,4.315905953e-01 
val#46,7.904346236e+08,4.316196380e-01,6.983526285e-02,2.925628899e+00,6.051824218e-01,-6.057200128e-01,3.038814665e-02,7.222036692e-02,4.315905956e-01 
val#47,8.076179850e+08,4.316195168e-01,6.984525051e-02,2.925595015e+00,6.183935055e-01,-6.189414199e-01,3.037410495e-02,7.222034269e-02,4.315905959e-01 
val#48,8.248013464e+08,4.316193949e-01,6.985529383e-02,2.925561129e+00,6.316070599e-01,-6.321652349e-01,3.035997605e-02,7.222031846e-02,4.315905962e-01 
val#49,8.419847077e+08,4.316192723e-01,6.986539259e-02,2.925527239e+00,6.448230975e-01,-6.453914701e-01,3.034576016e-02,7.222029423e-02,4.315905965e-01 
val#50,8.591680691e+08,4.316191490e-01,6.987554657e-02,2.925493346e+00,6.580416309e-01,-6.586201377e-01,3.033145746e-02,7.222027000e-02,4.315905968e-01 
val#51,8.763514305e+08,4.316190251e-01,6.988575555e-02,2.925459450e+00,6.712626726e-01,-6.718512498e-01,3.031706815e-02,7.222024576e-02,4.315905971e-01 
val#52,8.935347919e+08,4.316189005e-01,6.989601930e-02,2.925425552e+00,6.844862352e-01,-6.850848186e-01,3.030259243e-02,7.222022153e-02,4.315905974e-01 
val#53,9.107181533e+08,4.316187752e-01,6.990633759e-02,2.925391650e+00,6.977123314e-01,-6.983208564e-01,3.028803049e-02,7.222019728e-02,4.315905977e-01 
val#54,9.279015147e+08,4.316186493e-01,6.991671021e-02,2.925357745e+00,7.109409737e-01,-7.115593755e-01,3.027338254e-02,7.222017304e-02,4.315905980e-01 
val#55,9.450848760e+08,4.316185227e-01,6.992713691e-02,2.925323838e+00,7.241721748e-01,-7.248003883e-01,3.025864878e-02,7.222014879e-02,4.315905983e-01 
val#56,9.622682374e+08,4.316183954e-01,6.993761747e-02,2.925289927e+00,7.374059475e-01,-7.380439070e-01,3.024382941e-02,7.222012454e-02,4.315905986e-01 
val#57,9.794515988e+08,4.316182675e-01,6.994815166e-02,2.925256013e+00,7.506423044e-01,-7.512899441e-01,3.022892463e-02,7.222010028e-02,4.315905989e-01 
val#58,9.966349602e+08,4.316181389e-01,6.995873925e-02,2.925222096e+00,7.638812584e-01,-7.645385119e-01,3.021393467e-02,7.222007603e-02,4.315905992e-01 
val#59,1.013818322e+09,4.316180097e-01,6.996938000e-02,2.925188177e+00,7.771228223e-01,-7.777896229e-01,3.019885971e-02,7.222005176e-02,4.315905995e-01 
val#60,1.031001683e+09,4.316178798e-01,6.998007367e-02,2.925154254e+00,7.903670087e-01,-7.910432895e-01,3.018369998e-02,7.222002750e-02,4.315905998e-01 
val#61,1.048185044e+09,4.316177493e-01,6.999082004e-02,2.925120328e+00,8.036138306e-01,-8.042995243e-01,3.016845569e-02,7.222000323e-02,4.315906001e-01 
val#62,1.065368406e+09,4.316176182e-01,7.000161886e-02,2.925086400e+00,8.168633009e-01,-8.175583397e-01,3.015312705e-02,7.221997896e-02,4.315906004e-01 
val#63,1.082551767e+09,4.316174864e-01,7.001246989e-02,2.925052468e+00,8.301154324e-01,-8.308197483e-01,3.013771427e-02,7.221995469e-02,4.315906007e-01 
val#64,1.099735128e+09,4.316173539e-01,7.002337290e-02,2.925018533e+00,8.433702380e-01,-8.440837628e-01,3.012221757e-02,7.221993041e-02,4.315906010e-01 
val#65,1.116918490e+09,4.316172209e-01,7.003432764e-02,2.924984596e+00,8.566277308e-01,-8.573503956e-01,3.010663718e-02,7.221990613e-02,4.315906013e-01 
